type;label;cond;id;length;Lperf;hydr;nP;nM
port;drag-9;l;340;13.70;NA;1;14;NA
port;drag-9;l;342;14.10;NA;1;37;NA
port;drag-9;l;343;18.10;NA;1;10;NA
port;drag-9;l;344;19.80;NA;1;6;NA
port;drag-9;l;345;16.00;NA;1;26;NA
port;drag-9;l;346;16.20;NA;1;19;NA
port;drag-9;l;347;14.30;NA;1;18;NA
port;drag-9;l;348;14.60;NA;1;36;NA
port;drag-9;l;349;13.70;NA;1;29;NA
port;drag-9;l;350;15.90;NA;1;21;NA
port;drag-9;l;351;13.00;NA;1;27;NA
port;drag-9;l;352;16.20;NA;1;33;NA
port;drag-9;l;353;14.40;NA;1;39;NA
port;drag-9;l;354;14.60;NA;1;24;NA
port;drag-9;l;355;12.90;NA;1;28;NA
port;drag-9;l;356;15.60;NA;1;29;NA
port;drag-9;l;357;12.30;NA;1;5;NA
port;drag-9;l;358;14.20;NA;1;21;NA
port;drag-9;l;359;11.00;NA;1;4;NA
port;drag-9;l;360;9.80;NA;1;5;NA
port;drag-9;l;361;8.60;NA;1;16;NA
port;drag-9;l;362;8.00;NA;1;7;NA
port;drag-9;l;364;7.20;NA;1;6;NA
port;drag-9;l;365;7.30;NA;1;9;NA
port;drag-9;l;366;5.90;NA;1;10;NA
port;drag-9;l;372;2.10;NA;1;2;NA
port;drag-9;l;373;2.50;NA;1;4;NA
port;drag-9;l;394;2.10;NA;1;2;NA
port;drag-9;l;397;2.90;NA;1;7;NA
port;drag-9;l;400;6.00;NA;1;5;NA
port;drag-9;l;401;7.10;NA;1;11;NA
port;drag-9;l;404;2.60;NA;1;3;NA
port;drag-9;l;405;1.90;NA;1;4;NA
port;drag-9;l;406;2.00;NA;1;3;NA
port;drag-9;l;412;2.60;NA;1;6;NA
port;drag-9;l;421;2.40;NA;1;5;NA
port;drag-9;l;425;2.80;NA;1;3;NA
port;drag-9;l;428;2.00;NA;1;6;NA
port;drag-9;l;430;1.50;NA;1;1;NA
port;drag-9;l;433;2.50;NA;1;6;NA
mac;drag-9;l;436;9.00;NA;1;5;0
mac;drag-9;l;437;9.60;NA;1;4;0
mac;drag-9;l;438;7.80;NA;1;4;0
mac;drag-9;l;439;6.60;NA;1;3;0
mac;drag-9;l;440;5.50;NA;1;1;0
mac;drag-9;l;441;5.60;NA;1;5;0
mac;drag-9;l;443;2.90;NA;1;3;0
mac;drag-9;l;444;2.70;NA;1;1;0
mac;drag-9;l;446;6.00;NA;1;1;0
mac;drag-9;l;447;2.80;NA;1;3;0
mac;drag-9;l;448;6.70;NA;1;5;0
mac;drag-9;l;449;7.50;NA;1;3;0
mac;drag-9;l;450;8.20;NA;1;4;0
mac;drag-9;l;452;2.20;NA;1;3;0
mac;drag-9;l;456;3.70;NA;1;2;0
mac;drag-9;l;457;5.00;NA;1;1;0
mac;drag-9;l;460;3.40;NA;1;2;0
mac;drag-9;l;463;2.60;NA;1;2;0
mac;drag-9;l;465;5.40;NA;1;4;0
mac;drag-9;l;466;8.30;NA;1;4;0
mac;drag-9;l;467;2.30;NA;1;1;0
mac;drag-9;l;469;5.20;NA;1;3;0
mac;drag-9;l;470;4.20;NA;1;2;0
mac;drag-9;l;472;10.30;NA;1;7;0
mac;drag-9;l;473;17.50;NA;1;22;3
mac;drag-9;l;474;7.10;NA;1;4;0
mac;drag-9;l;475;5.60;NA;1;1;0
mac;drag-9;l;476;5.00;NA;1;2;0
mac;drag-9;l;479;2.40;NA;1;1;0
mac;drag-9;l;480;4.80;NA;1;3;0
mac;drag-9;l;481;4.50;NA;1;6;0
mac;drag-9;l;485;2.90;NA;1;2;0
mac;drag-9;l;488;14.10;NA;1;13;1
mac;drag-9;l;489;14.00;NA;1;7;4
mac;drag-9;l;490;7.60;NA;1;2;0
mac;drag-9;l;491;2.20;NA;1;2;0
mac;drag-9;l;493;7.70;NA;1;3;0
mac;drag-9;l;495;2.60;NA;1;2;0
mac;drag-9;l;498;2.60;NA;1;2;0
mac;drag-9;l;499;5.50;NA;1;3;0
mac;drag-9;l;500;5.00;NA;1;5;0
mac;drag-9;l;501;2.20;NA;1;2;0
mac;drag-9;l;504;3.20;NA;1;2;0
mac;drag-9;l;506;7.10;NA;1;3;0
mac;drag-9;l;508;6.80;NA;1;3;0
mac;drag-9;l;510;4.40;NA;1;2;0
mac;drag-9;l;513;3.70;NA;1;4;0
port;drag-8;l;518;17.30;NA;1;15;NA
port;drag-8;l;519;17.90;NA;1;10;NA
port;drag-8;l;520;17.50;NA;1;8;NA
port;drag-8;l;521;17.20;NA;1;20;NA
port;drag-8;l;522;17.90;NA;1;19;NA
port;drag-8;l;523;19.00;NA;1;11;NA
port;drag-8;l;524;18.00;NA;1;8;NA
port;drag-8;l;525;13.00;NA;1;0;NA
mac;drag-8;l;527;17.60;NA;1;3;1
mac;drag-8;l;529;15.90;NA;1;4;0
mac;drag-8;l;530;15.60;NA;1;0;0
mac;drag-8;l;531;17.70;NA;1;5;2
mac;drag-8;l;532;16.50;NA;1;14;2
mac;drag-8;l;533;10.10;NA;1;0;0
mac;drag-8;l;534;2.90;NA;1;2;0
mac;drag-8;l;536;8.10;NA;1;3;0
mac;drag-8;l;540;8.20;NA;1;4;0
mac;drag-8;l;541;8.50;NA;1;0;1
